Name,Handle,Timestamp,Verified,Content,Comments,Retweets,Likes,Analytics,Tags,Mentions,Emojis,Profile Image,Tweet Link,Tweet ID
Ton Photoman,@veldman_ton,2024-05-08T15:07:20.000Z,False,"De vraag stellen is hem beantwoorden. 
Dit is geen student.",0,0,0,115,[],[],[],https://pbs.twimg.com/profile_images/1779038210238091264/bBRmg5hk_normal.jpg,https://x.com/veldman_ton/status/1788224170809028957,tweet_id:1788224170809028957
Poekie,@Poekie1961,2024-05-08T18:10:06.000Z,False,Dat zie je duidelijk een hamas terrorist..!.,0,0,0,39,[],[],[],https://pbs.twimg.com/profile_images/1696259714370191360/9KI2Dt4-_normal.jpg,https://x.com/Poekie1961/status/1788270165811142942,tweet_id:1788270165811142942
Bruno Silva,@BrunoSi69311108,2024-05-09T20:15:19.000Z,True,"Amsterdam 6 mei 2024.

Daarom PVV.",0,0,0,4,[],[],[],https://pbs.twimg.com/profile_images/1791051296264380416/iseZ-OnE_normal.jpg,https://x.com/BrunoSi69311108/status/1788664063767052346,tweet_id:1788664063767052346
Thomas Linderman,@ThomasLinderma7,2024-05-08T14:57:06.000Z,False,Het is degelijk een terrorist die hier niks zoeken heeft.,0,0,0,2,[],[],[],https://pbs.twimg.com/profile_images/1452591284674236421/4fCdNwZ__normal.png,https://x.com/ThomasLinderma7/status/1788221594017374339,tweet_id:1788221594017374339
neutraal,@DielisMol,2024-05-08T15:04:11.000Z,False,Dit is een sergeant van de hamas klaaruit.,0,0,0,46,[],[],[],https://pbs.twimg.com/profile_images/1755241935999037440/dcmpjNtz_normal.jpg,https://x.com/DielisMol/status/1788223376185581840,tweet_id:1788223376185581840
Observer,@Observe35710108,2024-05-08T16:48:56.000Z,False,uitzetten die troep...,0,0,0,5,[],[],[],https://pbs.twimg.com/profile_images/1695292133773553665/CKpnt1BR_normal.jpg,https://x.com/Observe35710108/status/1788249740536062003,tweet_id:1788249740536062003
IDB,@IBlumink93875,2024-05-08T21:05:29.000Z,False,En hij trekt vaak gezellig op met deze muppet:,0,0,0,9,[],[],[],https://pbs.twimg.com/profile_images/1722400586899890176/EbXQ8Abk_normal.jpg,https://x.com/IBlumink93875/status/1788314302555787376,tweet_id:1788314302555787376
Kees Snel,@SnelKees33124,2024-05-08T21:59:33.000Z,False,Pallywood,0,0,0,10,[],[],[],https://pbs.twimg.com/profile_images/1779290396582957057/L4Dk6jL2_normal.jpg,https://x.com/SnelKees33124/status/1788327906344591382,tweet_id:1788327906344591382
kolenschop,@kolenschop46591,2024-05-09T16:55:52.000Z,False,Het is een moslim varken.,0,0,0,2,[],[],[],https://abs.twimg.com/sticky/default_profile_images/default_profile_normal.png,https://x.com/kolenschop46591/status/1788613871118250491,tweet_id:1788613871118250491
René.olthof@olthofco.com,René.olthof@olthofco.com,2024-05-09T19:38:05.000Z,False,"Geen student maar een professionele onruststoker en anarchistische infiltrant. Geen Nederlander maar ingevlogen.
En die domme studentjes laten zich voor zijn karretje spannen.
Dat noemt zich studenten…",0,0,0,10,[],[],[],https://pbs.twimg.com/profile_images/1487151449708638217/Mddh03kx_normal.jpg,https://x.com/olthofrene1/status/1788654696669815262,tweet_id:1788654696669815262
Ruud Neuteboom,@kiai59,2024-05-08T11:23:08.000Z,False,Die kom je op meerdere plaatsen en foto's tegen...puur een ophitser..,0,0,0,28,[],[],[],https://pbs.twimg.com/profile_images/1573968036188635136/yRd1yWYQ_normal.jpg,https://x.com/kiai59/status/1788167747811054043,tweet_id:1788167747811054043
Salutem Sensorem (geo)politiek /,@tricolorinl,2024-05-08T09:07:10.000Z,False,Deze eikel...,0,0,0,231,[],[],[],https://pbs.twimg.com/profile_images/1786897066028847105/0FkFLG0G_normal.jpg,https://x.com/tricolorinl/status/1788133530502942986,tweet_id:1788133530502942986
peter,@peter65047957,2024-05-08T11:57:07.000Z,False,Dat is Nederland daarom stem ik pvv,0,0,0,6,[],[],[],https://pbs.twimg.com/profile_images/1713437257011466240/zlNKmptY_normal.jpg,https://x.com/peter65047957/status/1788176300571824244,tweet_id:1788176300571824244
G f de vreugd,@vreugd_g,2024-05-08T13:28:36.000Z,False,Terrorist,0,0,0,3,[],[],[],https://abs.twimg.com/sticky/default_profile_images/default_profile_normal.png,https://x.com/vreugd_g/status/1788199323718631843,tweet_id:1788199323718631843
Luut,@demokummer,2024-05-08T12:31:44.000Z,False,"Een figuur waar je weinig aan hebt, moet gauw weer terug naar het midden oosten ze zitten met smart op hem te wachten.",0,0,0,7,[],[],[],https://pbs.twimg.com/profile_images/1790439837633310720/M2UuA2Uj_normal.jpg,https://x.com/demokummer/status/1788185011201380534,tweet_id:1788185011201380534
Mrs G Music,@MrsGMusicTeach,2024-05-07T20:54:54.000Z,False,"He was so out of tune, I don't know what happened. Staging was soooo good. I just hope there were technical issues that will be sorted for Saturday ",0,0,0,298,[],[],['\\U0001fae4'],https://pbs.twimg.com/profile_images/1779466265246965760/yTR96sIw_normal.jpg,https://x.com/MrsGMusicTeach/status/1787949250715800029,tweet_id:1787949250715800029
Siobhan,@slinehan1,2024-05-07T20:55:35.000Z,False,Oh no. ,0,0,0,244,[],[],['\\U0001f62c'],https://pbs.twimg.com/profile_images/1673795399138570244/BjBg7TPq_normal.jpg,https://x.com/slinehan1/status/1787949421587583183,tweet_id:1787949421587583183
LewisJ,@LewisJ815,2024-05-08T13:34:31.000Z,False,"He was fine and the staging is brilliant. There’s just a lot of very homophobic, and also anti ESC people in general looking for an excuse to attack.",0,0,0,166,[],[],[],https://pbs.twimg.com/profile_images/1769433347376259072/M3X1018U_normal.jpg,https://x.com/LewisJ815/status/1788200812742693104,tweet_id:1788200812742693104
Sarah E,@sarcophitup,2024-05-07T20:56:21.000Z,False,"I thought he was horribly out of tune but everything I’ve read said it’s won already, don’t think so",0,0,0,181,[],[],[],https://pbs.twimg.com/profile_images/378800000659955505/e1365da3235c11c4bebbc275950b478f_normal.jpeg,https://x.com/sarcophitup/status/1787949617369297077,tweet_id:1787949617369297077
David Lee,@autisticcardiff,2024-05-08T09:05:47.000Z,False,#BoycottEurovision,0,0,0,41,['#BoycottEurovision'],[],[],https://pbs.twimg.com/profile_images/1755393127114735616/My3Dsz4O_normal.jpg,https://x.com/autisticcardiff/status/1788133181717168460,tweet_id:1788133181717168460
Siobhan,@slinehan1,2024-05-25T19:02:56.000Z,False,So I've put together a basic summary of the episode 73 yards.  #DoctorWho,0,0,0,892,['#DoctorWho'],[],"['\\U0001f602', '\\U0001f495']",https://pbs.twimg.com/profile_images/1673795399138570244/BjBg7TPq_normal.jpg,https://x.com/slinehan1/status/1794444054786396581,tweet_id:1794444054786396581
🜏⛧ Glamniss ⛧🜏,@Glamnissx,2024-05-07T20:55:06.000Z,False,DIOS,0,0,0,3.7K,[],[],[],https://pbs.twimg.com/profile_images/1771151893470801920/kLmMj6zb_normal.jpg,https://x.com/Glamnissx/status/1787949302624440737,tweet_id:1787949302624440737
Samantha Ballentines,@SamanthaBallent,2024-05-07T21:02:40.000Z,False,"Dios no, el de Los Morancos",0,0,0,3.1K,[],[],[],https://pbs.twimg.com/profile_images/1793938367958163457/v2wrJ0Ud_normal.jpg,https://x.com/SamanthaBallent/status/1787951205823525293,tweet_id:1787951205823525293
Tony López,@TonyLopezS,2024-05-08T11:14:08.000Z,False,Eres la persona más graciosa de España. Felicidragues ,0,0,0,1.5K,[],[],['\\U0001f496'],https://pbs.twimg.com/profile_images/1553395636946575361/vsNDU1Ww_normal.jpg,https://x.com/TonyLopezS/status/1788165482769510481,tweet_id:1788165482769510481
Daniel,@Dan270288,2024-05-08T04:39:58.000Z,False,,0,0,0,68,[],[],"['\\U0001f602', '\\U0001f602', '\\U0001f602', '\\U0001f602', '\\U0001f602', '\\U0001f602', '\\U0001f602']",https://pbs.twimg.com/profile_images/1474343788097191937/Bu_uvOUE_normal.jpg,https://x.com/Dan270288/status/1788066287668678738,tweet_id:1788066287668678738
ccano,@Carolingium,2024-05-08T05:20:15.000Z,False,,0,0,0,101,[],[],"['\\U0001f602', '\\U0001f602', '\\U0001f602', '\\U0001f602', '\\U0001f602', '\\U0001f602']",https://pbs.twimg.com/profile_images/1264260498956128256/rIjg9qje_normal.jpg,https://x.com/Carolingium/status/1788076424353448172,tweet_id:1788076424353448172
Manu Reyes,@Theolobezno,2024-05-07T21:05:04.000Z,False,,0,0,0,561,[],[],[],https://pbs.twimg.com/profile_images/1776496492955488257/gJlIcy24_normal.jpg,https://x.com/Theolobezno/status/1787951807748096313,tweet_id:1787951807748096313
ℝ𝔸𝔽𝔸𝔼𝕃 𝔸𝕃𝕄𝔸ℝ𝕀𝕆 𝔹𝔼ℝℕ𝔸𝕃,@rafalmbern16,2024-05-10T14:10:40.000Z,False,Clavá.,0,0,0,22,[],[],[],https://pbs.twimg.com/profile_images/1736900942631452676/7VS2FkXM_normal.jpg,https://x.com/rafalmbern16/status/1788934685151682720,tweet_id:1788934685151682720
Ray Guerra,@rayguerray,2024-05-07T21:13:22.000Z,False,,0,0,0,102,[],[],[],https://pbs.twimg.com/profile_images/1675305799667654656/aVb5tkS7_normal.jpg,https://x.com/rayguerray/status/1787953897245720760,tweet_id:1787953897245720760
Xandlerito,@Xandlerito1,2024-05-07T21:01:26.000Z,False,Jajajajajajaajajajajajajajaja ,0,0,0,326,[],[],"['\\U0001f60d', '\\U0001f60d', '\\U0001f60d', '\\U0001f602', '\\U0001f602', '\\U0001f602', '\\U0001f602', '\\U0001f602', '\\U0001f602']",https://pbs.twimg.com/profile_images/1717906479078858752/ZS9SSJ4V_normal.jpg,https://x.com/Xandlerito1/status/1787950896103461355,tweet_id:1787950896103461355
Juanjo Mayo,@JuanjoMayo,2024-05-07T21:05:37.000Z,False,Ay que me puto meoooo,0,0,0,478,[],[],[],https://pbs.twimg.com/profile_images/1732497690959785985/3c3Lf19z_normal.jpg,https://x.com/JuanjoMayo/status/1787951947162484848,tweet_id:1787951947162484848
Sopa,@sopadegoomba,2024-05-07T20:51:33.000Z,False,ME MEO VIVA,0,0,0,403,[],[],[],https://pbs.twimg.com/profile_images/1783802713635008513/MLB8lNUl_normal.jpg,https://x.com/sopadegoomba/status/1787948408126259604,tweet_id:1787948408126259604
Ruben Rubi Rupo,@Dark_RubenP,2024-05-07T21:12:17.000Z,False,Jajajajajajajaja que mala,0,0,0,580,[],[],[],https://pbs.twimg.com/profile_images/1666858545470484504/cNaCrAe1_normal.jpg,https://x.com/Dark_RubenP/status/1787953625983238388,tweet_id:1787953625983238388
miki c mora,@mikcmora,2024-05-07T21:05:43.000Z,False,Me meooooo,0,0,0,79,[],[],[],https://pbs.twimg.com/profile_images/1792612547939487744/fU29SxOc_normal.jpg,https://x.com/mikcmora/status/1787951974165422301,tweet_id:1787951974165422301
Adovina Domina,@adoviis3,2024-05-07T22:35:50.000Z,False,Ah! Que no es  ???,0,0,0,132,[],['@PupiPoisson'],[],https://pbs.twimg.com/profile_images/1614777879111385090/PaEij28e_normal.jpg,https://x.com/adoviis3/status/1787974652741968341,tweet_id:1787974652741968341
RedkenOne,@RedkenOne,2024-05-07T21:02:26.000Z,False,Jajaja qué malo,0,0,0,429,[],[],[],https://pbs.twimg.com/profile_images/1761714444202033152/XWZSHQsI_normal.jpg,https://x.com/RedkenOne/status/1787951146927063226,tweet_id:1787951146927063226
𝗦𝗶𝗯𝗲𝗿𝗶𝗮 𝗚é𝗹𝗶𝗱𝗮,@SiberiaG,2024-05-07T21:30:11.000Z,False,La Samantha polaca:,0,0,0,185,[],[],[],https://pbs.twimg.com/profile_images/1632552158510948353/TO5ELQ6g_normal.jpg,https://x.com/SiberiaG/status/1787958130447716366,tweet_id:1787958130447716366
Mario:P,@Mmario93,2024-05-07T20:46:08.000Z,False,Puahahahahahahahahhaha,0,0,0,447,[],[],[],https://pbs.twimg.com/profile_images/1524502617929433088/lyRGdIPo_normal.jpg,https://x.com/Mmario93/status/1787947045271064765,tweet_id:1787947045271064765
Minnie Queen,@minnie_queen505,2024-05-08T22:15:08.000Z,False,,0,0,0,110,[],[],"['\\U0001f602', '\\U0001f602', '\\U0001f602']",https://pbs.twimg.com/profile_images/1731596077869027328/AieSicEi_normal.jpg,https://x.com/minnie_queen505/status/1788331831860846655,tweet_id:1788331831860846655
Luca Fantasticini,@arkano1317,2024-05-08T09:47:27.000Z,False,mamma mia,0,0,0,241,[],[],[],https://pbs.twimg.com/profile_images/1526461383029710849/KdYwjY6B_normal.jpg,https://x.com/arkano1317/status/1788143671268774239,tweet_id:1788143671268774239
Carel Sánchez (カレル),@Carel3DS,2024-05-07T22:07:49.000Z,False,,0,0,0,943,[],[],[],https://pbs.twimg.com/profile_images/1511735901138870280/gRe8JRsP_normal.jpg,https://x.com/Carel3DS/status/1787967598832816411,tweet_id:1787967598832816411
Я Коля,@nikolayisover,2024-05-07T22:01:01.000Z,False,Abortion urgently,0,0,0,743,[],[],[],https://pbs.twimg.com/profile_images/1722626828475715585/7rW4g26F_normal.jpg,https://x.com/nikolayisover/status/1787965889637192034,tweet_id:1787965889637192034
May Bridget,@MayBridget8556,2024-05-08T00:58:56.000Z,False,https://a.co/d/cLbJrtU#MetGala #DrakeVsKendrick #Drake #TomBradyRoast,0,0,0,77,"['#MetGala', '#DrakeVsKendrick', '#Drake', '#TomBradyRoast']",[],[],https://pbs.twimg.com/profile_images/1764907369518034944/hCB-mrrj_normal.png,https://x.com/MayBridget8556/status/1788010661701627927,tweet_id:1788010661701627927
αννουλα του χιονια,@nikolinanikol24,2024-05-08T11:10:51.000Z,False,,0,0,0,92,[],[],[],https://pbs.twimg.com/profile_images/1790282046406848512/UlC4u8Cu_normal.jpg,https://x.com/nikolinanikol24/status/1788164657816977775,tweet_id:1788164657816977775
vandi,@vandi__b,2024-05-08T05:35:53.000Z,False,Ewww,0,0,0,208,[],[],[],https://pbs.twimg.com/profile_images/1776884750260576256/CeKzh9Oo_normal.jpg,https://x.com/vandi__b/status/1788080360489697735,tweet_id:1788080360489697735
Izzy Chaos,@IzzyChaoss,2024-05-08T09:16:50.000Z,False,Omfg that was amazing ,0,0,0,375,[],[],"['\\U0001f923', '\\U0001f60d', '\\u2764\\ufe0f']",https://pbs.twimg.com/profile_images/1598618568245092353/w3MPAGIt_normal.png,https://x.com/IzzyChaoss/status/1788135964994371836,tweet_id:1788135964994371836
Kusoo,@__kus0_,2024-05-08T02:04:26.000Z,False,,0,0,0,515,[],['@Fran29del9'],[],https://pbs.twimg.com/profile_images/1793242346542260224/Aj8wM-dB_normal.jpg,https://x.com/__kus0_/status/1788027147514265931,tweet_id:1788027147514265931
Harley Fernandez,@Harield,2024-05-08T02:12:38.000Z,False,And probably the rest of the world ,0,0,0,252,[],[],['\\U0001f975'],https://pbs.twimg.com/profile_images/1746205295930494976/uuaTmdQO_normal.jpg,https://x.com/Harield/status/1788029209346031794,tweet_id:1788029209346031794
Nataliya Plastaras,@qrghideagialla,2024-05-07T23:31:16.000Z,False,È vincitore,0,0,0,241,[],[],['\\U0001f44d'],https://pbs.twimg.com/profile_images/458221621040250880/P0yQAulp_normal.jpeg,https://x.com/qrghideagialla/status/1787988602195992902,tweet_id:1787988602195992902
Sabrina The Teenage Bitch,@Ria11Rialove,2024-05-07T22:06:54.000Z,False,,0,0,0,1.5K,[],[],[],https://pbs.twimg.com/profile_images/1779207589546299392/Ie23q881_normal.jpg,https://x.com/Ria11Rialove/status/1787967369014284342,tweet_id:1787967369014284342
ευ+ φρονηση = καπου χαθηκε,@alert142,2024-05-07T23:51:19.000Z,False,,0,0,0,874,[],[],[],https://pbs.twimg.com/profile_images/1720927518054547456/0Tf1IVF__normal.jpg,https://x.com/alert142/status/1787993645813031106,tweet_id:1787993645813031106
ur mum,@joeellb,2024-05-07T21:11:02.000Z,False,WHAT he is that ex that you dated at 15 that makes you wanna commit su!cide when you think abt it bcs you can’t believe you were even in the same room as him ,0,0,0,1.8K,[],[],"['\\U0001f62d', '\\U0001f62d']",https://pbs.twimg.com/profile_images/1738460223654772736/vNWj7wDt_normal.jpg,https://x.com/joeellb/status/1787953309682462937,tweet_id:1787953309682462937
Şevval ₊˚.⋆☾⋆⁺₊✧,@sevvall_9,2024-05-07T21:07:41.000Z,False,,0,0,0,1.6K,[],[],[],https://pbs.twimg.com/profile_images/1791213456609169408/zoRnzWJe_normal.jpg,https://x.com/sevvall_9/status/1787952465910132990,tweet_id:1787952465910132990
tea,@gemaett,2024-05-07T21:07:16.000Z,False,That smirk in the end oh he knows he ate them all up,0,0,0,4.2K,[],[],[],https://pbs.twimg.com/profile_images/1790482114992881664/HViqelt4_normal.jpg,https://x.com/gemaett/status/1787952361664598172,tweet_id:1787952361664598172
protagonίστρια,@prot_agonistria,2024-05-08T06:29:19.000Z,False,Τι λες μαρή;,0,0,0,635,[],[],[],https://pbs.twimg.com/profile_images/1719752118339260416/yVMSeSEu_normal.jpg,https://x.com/prot_agonistria/status/1788093806962761813,tweet_id:1788093806962761813
"it's georgie, bitch",@spongeorge93,2024-05-08T06:09:44.000Z,False,I'm appalled and disgusted by the EBU and the Eurovision Song Contest. Shame.,0,0,0,362,[],[],[],https://pbs.twimg.com/profile_images/1592756024133533696/6LUrwUA6_normal.jpg,https://x.com/spongeorge93/status/1788088878756139233,tweet_id:1788088878756139233
O Fran,@VarelaAltamira,2024-05-07T21:06:36.000Z,False,And we regret you.,0,0,0,680,[],[],[],https://pbs.twimg.com/profile_images/1757682685642764288/8Ucu-5L-_normal.jpg,https://x.com/VarelaAltamira/status/1787952196015059212,tweet_id:1787952196015059212
Despoina,@DCharokopou,2024-05-08T12:51:06.000Z,False,"Russia is out, Israel is in. At the moment thousands of children are dying. Why is a scarf political? Why is ceasefire political? Isn't it obvious that we are against war crimes? This is outrageous.",0,0,0,50,[],[],[],https://pbs.twimg.com/profile_images/1707878316068249600/xN9wq4RH_normal.jpg,https://x.com/DCharokopou/status/1788189886819807334,tweet_id:1788189886819807334
cler,@cler_0,2024-05-07T20:54:09.000Z,False,Non political mis cojones,0,0,0,1K,[],[],[],https://pbs.twimg.com/profile_images/1503877310658879491/hBxS8Bk7_normal.jpg,https://x.com/cler_0/status/1787949060894154791,tweet_id:1787949060894154791
EduliusDeMorouzos*!,@BoletusEdulius,2024-05-08T14:49:52.000Z,False,Comigo non perdedes un espectador porque xa non o era que aborrezo a maioría da música que sacades aí pero aínda así : #BoicotEurovision Sionistas Xenocidas,0,0,0,12,['#BoicotEurovision'],[],[],https://pbs.twimg.com/profile_images/1434494301145341960/MKteZLK8_normal.jpg,https://x.com/BoletusEdulius/status/1788219773987205404,tweet_id:1788219773987205404
Juan Eduardo Mendez Miranda,@jedomm,2024-05-08T05:23:16.000Z,False,,0,0,0,167,[],[],"['\\U0001f349', '\\U0001f349', '\\U0001f349', '\\U0001f349', '\\U0001f349', '\\U0001f349', '\\U0001f349', '\\U0001f349', '\\U0001f349', '\\U0001f349']",https://pbs.twimg.com/profile_images/1481826236410126341/_kk3GQGk_normal.jpg,https://x.com/jedomm/status/1788077184273326420,tweet_id:1788077184273326420
psofos kakos,@antifileleras,2024-05-08T13:55:19.000Z,False,Non political? Remind us the Russian participation ,0,0,0,64,[],[],['\\U0001f921'],https://pbs.twimg.com/profile_images/716524666102358017/xzYdmQ8z_normal.jpg,https://x.com/antifileleras/status/1788206048077070467,tweet_id:1788206048077070467
,@rutger1969,2024-05-07T21:09:50.000Z,True,"Eric Saade and a couple of other Swedish artists released a new song on Spotify ""Vi bär alla barnen"" (We Carry All The Children in English)  

All profits go to UNRWA, listen to it on Spotify: ",0,0,0,2.6K,[],[],[],https://pbs.twimg.com/profile_images/727567479535509505/o8eVDXxr_normal.jpg,https://x.com/rutger1969/status/1787953007948177693,tweet_id:1787953007948177693
,@rutger1969,2024-05-07T21:29:05.000Z,False,Grymt gjort av Eric Saade! ,0,0,0,1.6K,[],[],"['\\u270a', '\\U0001f1f5\\U0001f1f8']",https://pbs.twimg.com/profile_images/727567479535509505/o8eVDXxr_normal.jpg,https://x.com/rutger1969/status/1787957853472571736,tweet_id:1787957853472571736
PepeBhoy,@PepeB68927,2024-05-07T20:46:04.000Z,False,Does that mean The host country  will be sanctioned in dome way,0,0,0,2.8K,[],[],[],https://pbs.twimg.com/profile_images/1754096559657021442/YRn85kFC_normal.jpg,https://x.com/PepeB68927/status/1787947026505777623,tweet_id:1787947026505777623
Muxi,@Muxina13,2024-05-07T21:52:17.000Z,False,"#thanksEricSaade gracias. 
EBU, dejad de Blanquear a Genocidas",0,0,0,144,['#thanksEricSaade'],[],[],https://pbs.twimg.com/profile_images/1663239019407212560/vUOn9v_o_normal.jpg,https://x.com/Muxina13/status/1787963692052607041,tweet_id:1787963692052607041
Rhodithas,@HughGasbag,2024-05-07T22:28:47.000Z,False,"Well, he and many others regret the fact that Israel is allowed to compete in the contest.  Reality sucks sometimes...",0,0,0,174,[],[],[],https://pbs.twimg.com/profile_images/1732368358631522304/MN7QiMh__normal.jpg,https://x.com/HughGasbag/status/1787972876043514202,tweet_id:1787972876043514202
yowzah,@donYowzah,2024-05-07T22:34:55.000Z,False,,0,0,0,144,[],[],['\\U0001f1f5\\U0001f1f8'],https://pbs.twimg.com/profile_images/1559203347793674244/tPQj8fGH_normal.jpg,https://x.com/donYowzah/status/1787974419031195775,tweet_id:1787974419031195775
