Name,Handle,Timestamp,Verified,Content,Comments,Retweets,Likes,Analytics,Tags,Mentions,Emojis,Profile Image,Tweet Link,Tweet ID
Fco Javier Pérez™,@kainus01,2024-05-12T09:06:00.000Z,True,"Sí, se le nota que es todo un referente de opinión.
Yo de mayor quiero ser como él/ella/eso.",0,0,0,10K,[],[],[],https://pbs.twimg.com/profile_images/1655260492607127552/nbe40Fsy_normal.jpg,https://x.com/kainus01/status/1789582788347183596,tweet_id:1789582788347183596
Zandor Sánchez,@SanchezZandor,2024-05-12T16:36:33.000Z,True,"Enfermos mentales, simple y sencillo.",0,0,0,2.4K,[],[],[],https://pbs.twimg.com/profile_images/1587218880585519104/MrKgg8JG_normal.jpg,https://x.com/SanchezZandor/status/1789696175039279302,tweet_id:1789696175039279302
Alan Schcolnik,@alan_schcolnik,2024-05-12T14:45:17.000Z,True,Pobrecito/a/e horrible. ,0,0,0,31,[],[],"['\\U0001f602', '\\U0001f602', '\\U0001f602', '\\U0001f602']",https://pbs.twimg.com/profile_images/1721000950431731712/Q74G6iFb_normal.jpg,https://x.com/alan_schcolnik/status/1789668174205460797,tweet_id:1789668174205460797
mike lopez,@mikes2015,2024-05-12T10:51:36.000Z,False,"Que se paseen los concursantes de Irlanda, Suiza  por los países islámicos a ver como los reciben",0,0,0,48,[],[],[],https://abs.twimg.com/sticky/default_profile_images/default_profile_normal.png,https://x.com/mikes2015/status/1789609365848097117,tweet_id:1789609365848097117
Beckenbauer5,@bekembauer5,2024-05-12T09:43:26.000Z,False,"Pero Bambi, no es en cervatillo?",0,0,0,65,[],[],[],https://pbs.twimg.com/profile_images/1724863567025856513/8QGuQyz7_normal.jpg,https://x.com/bekembauer5/status/1789592210842759390,tweet_id:1789592210842759390
Biker HalaMadrid,@BikerHalaMadrid,2024-05-12T16:35:29.000Z,False,No pero todo esto normal y no es ningún problema psicológico,0,0,0,68,[],[],[],https://pbs.twimg.com/profile_images/1783062330890207232/ugcbGDSa_normal.jpg,https://x.com/BikerHalaMadrid/status/1789695905802641425,tweet_id:1789695905802641425
etty marimon,@EttyMarimon,2024-05-12T06:14:33.000Z,False,Se escapó del manicomio cojanlaaaaaaaaa,0,0,0,891,[],[],[],https://pbs.twimg.com/profile_images/1792968223261872130/ZkORW72Y_normal.jpg,https://x.com/EttyMarimon/status/1789539643400032274,tweet_id:1789539643400032274
esbromurosano,@bromurosano,2024-05-12T12:25:41.000Z,False,Desde que Disney mato a su madre no es la misma,0,0,0,52,[],[],[],https://pbs.twimg.com/profile_images/1496769968070926336/doziXi_-_normal.jpg,https://x.com/bromurosano/status/1789633042371285185,tweet_id:1789633042371285185
Adolfo DL,@AdolfoDLozano,2024-05-12T11:33:45.000Z,False,Lo mas vomitivo de Eurovision muerte fealdad dolor de verla o oirla,0,0,0,106,[],[],[],https://pbs.twimg.com/profile_images/2213680828/yopic__1__normal.jpg,https://x.com/AdolfoDLozano/status/1789619970554335560,tweet_id:1789619970554335560
Atlanticamente,@VOSBUR4,2024-05-12T08:29:52.000Z,False,Acosadores enrabietándose xq no les ha dejado acosar tranquliamente a toda una delegación.,0,0,0,675,[],[],[],https://pbs.twimg.com/profile_images/1792932358393397248/89RaIBG9_normal.jpg,https://x.com/VOSBUR4/status/1789573697906286709,tweet_id:1789573697906286709
