Name,Handle,Timestamp,Verified,Content,Comments,Retweets,Likes,Analytics,Tags,Mentions,Emojis,Profile Image,Tweet Link,Tweet ID
Albino Sports ||JOOST KLEIN||,@Albinosports,2024-05-14T18:22:42.000Z,False,Israel really thinks they can copy Joost Klein #Justiceforjoost #EBU #eurovision2024 #Europapa,0,0,0,0,"['#Justiceforjoost', '#EBU', '#eurovision2024', '#Europapa']",[],['\\U0001f480'],https://pbs.twimg.com/profile_images/1776655699629441024/oBl3Uxwr_normal.jpg,https://x.com/Albinosports/status/1790447661369184398,tweet_id:1790447661369184398
Anthony,@Coggit,2024-05-15T17:51:20.000Z,False,This is such a bad copy of him... Would be much more accurate if we saw him abusing a woman.,0,0,0,2.3K,[],[],[],https://pbs.twimg.com/profile_images/1302537505858871297/um_22VBq_normal.jpg,https://x.com/Coggit/status/1790802157672845689,tweet_id:1790802157672845689
Stephen,@AmazingSMP,2024-05-14T22:14:28.000Z,False,Looks exactly the same,0,0,0,1.6K,[],[],[],https://pbs.twimg.com/profile_images/1300036519512604673/lqsR_GnV_normal.jpg,https://x.com/AmazingSMP/status/1790505990867284304,tweet_id:1790505990867284304
St Amandus Fella,@ferdupuis,2024-05-18T14:15:34.000Z,False,"Honest question regardless politics 
Do you really believe that shit noise can be considered as music?",0,0,0,412,[],[],[],https://pbs.twimg.com/profile_images/1790437613372907521/FR6Y2HwM_normal.jpg,https://x.com/ferdupuis/status/1791835023462609149,tweet_id:1791835023462609149
Albino Sports ||JOOST KLEIN||,@Albinosports,2024-05-18T14:33:26.000Z,False,this is considered as music whether you like it or not.,0,0,0,629,[],[],[],https://pbs.twimg.com/profile_images/1776655699629441024/oBl3Uxwr_normal.jpg,https://x.com/Albinosports/status/1791839517000733176,tweet_id:1791839517000733176
Aurora Borealis,@AuroraB30999131,2024-05-18T08:34:13.000Z,False,Actually it was pretty good ;-),0,0,0,13,[],[],[],https://abs.twimg.com/sticky/default_profile_images/default_profile_normal.png,https://x.com/AuroraB30999131/status/1791749118437572950,tweet_id:1791749118437572950
Sandra )O(,@mamasan70,2024-05-14T18:30:11.000Z,False,Graantje meepikken ,0,0,0,1.7K,[],[],['\\U0001f602'],https://pbs.twimg.com/profile_images/1472914174892249090/KZpGDz_9_normal.jpg,https://x.com/mamasan70/status/1790449545966399770,tweet_id:1790449545966399770
Sandra )O(,@mamasan70,2024-05-14T20:06:16.000Z,False,,0,0,0,685,[],[],[],https://pbs.twimg.com/profile_images/1472914174892249090/KZpGDz_9_normal.jpg,https://x.com/mamasan70/status/1790473725504053436,tweet_id:1790473725504053436
La_rissa,@la_rissa16,2024-05-14T20:48:13.000Z,False,,0,0,0,362,[],[],[],https://pbs.twimg.com/profile_images/1549733207007969281/FmMh2df-_normal.jpg,https://x.com/la_rissa16/status/1790484285851320515,tweet_id:1790484285851320515
Saskia Schuuring,@SaskiaPanterSch,2024-05-14T20:33:54.000Z,False,"Joost has a handsome face, he doesn't.  There he fails right away lol",0,0,0,6.6K,[],[],"['\\U0001f923', '\\U0001f602', '\\U0001f923', '\\U0001f923', '\\U0001f499', '\\U0001f499', '\\U0001f499', '\\U0001f499', '\\U0001f499']",https://pbs.twimg.com/profile_images/1628171139657748480/LwE24fGi_normal.jpg,https://x.com/SaskiaPanterSch/status/1790480681102876730,tweet_id:1790480681102876730
Golan cohen,@Golancohen4,2024-05-17T20:29:57.000Z,False,,0,0,0,143,[],[],"['\\U0001f923', '\\U0001f923', '\\U0001f923', '\\U0001f923']",https://pbs.twimg.com/profile_images/1475123831836712960/DSSOGCDI_normal.jpg,https://x.com/Golancohen4/status/1791566852314812605,tweet_id:1791566852314812605
Cornelius ™ קוֹרְנְלְיוּס,@Cornelius_37,2024-05-19T06:24:23.000Z,False,"It's called SATIRE, something clearly you didn't encounter before ",0,0,0,43,[],[],['\\U0001f926\\u200d\\u2642\\ufe0f'],https://pbs.twimg.com/profile_images/1105142531635986436/tfRz3_U3_normal.jpg,https://x.com/Cornelius_37/status/1792078832494604760,tweet_id:1792078832494604760
Max,@Max94565983,2024-05-18T00:06:33.000Z,False,Ha ha...,0,0,0,80,[],[],[],https://abs.twimg.com/sticky/default_profile_images/default_profile_normal.png,https://x.com/Max94565983/status/1791621360600391843,tweet_id:1791621360600391843
lu!!,@YORUMlTAKA,2024-05-14T21:28:46.000Z,False,They’re the biggest fans of Joost,0,0,0,5.4K,[],[],[],https://pbs.twimg.com/profile_images/1793448673474453504/Mu-7UWon_normal.jpg,https://x.com/YORUMlTAKA/status/1790494489607307522,tweet_id:1790494489607307522
Melvin Dookbutt,@Melvin_TheAlk,2024-05-15T11:12:16.000Z,False,"I'm so confused now things are going full circle in a way I didn't expect, they literally just made a fan cover??? 

If it's satire then it's bad satire since it's literally the song and the dance XD",0,0,0,432,[],[],[],https://pbs.twimg.com/profile_images/1599239040502579202/Gbtp-Mjm_normal.jpg,https://x.com/Melvin_TheAlk/status/1790701730574880976,tweet_id:1790701730574880976
Eli Kopter (Mossad Agent),@EliKopterMossad,2024-05-15T10:55:23.000Z,False,Orphan ,0,0,0,127,[],[],['\\U0001f480'],https://pbs.twimg.com/profile_images/1790036090281168896/QxSj4QTa_normal.jpg,https://x.com/EliKopterMossad/status/1790697480591413568,tweet_id:1790697480591413568
TZAR,@tzarovic,2024-05-15T08:39:05.000Z,False,I thought it was the real guy haha ,0,0,0,250,[],[],['\\U0001f606'],https://pbs.twimg.com/profile_images/1782489137318137856/UZaF5bLi_normal.jpg,https://x.com/tzarovic/status/1790663178453454887,tweet_id:1790663178453454887
