Name,Handle,Timestamp,Verified,Content,Comments,Retweets,Likes,Analytics,Tags,Mentions,Emojis,Profile Image,Tweet Link,Tweet ID
Alex Ringo,@arkadia073,2024-05-08T08:59:27.000Z,True,"Toż to jak chłop wygląda, aż dziw, że nie wygrał tego cyrku Xerxesa!",0,0,0,822,[],[],[],https://pbs.twimg.com/profile_images/1760758802037489665/oYJa1yMZ_normal.jpg,https://x.com/arkadia073/status/1788131588955414699,tweet_id:1788131588955414699
Tomek Niewęgłowski,@tomek525,2024-05-08T09:00:51.000Z,True,,0,0,0,1K,[],[],[],https://pbs.twimg.com/profile_images/1763499437198884864/9VxPKt1d_normal.jpg,https://x.com/tomek525/status/1788131943650893868,tweet_id:1788131943650893868
•| RoshEe |•,@EmiRosz,2024-05-08T08:35:08.000Z,True,"Ta ""oryginalna uroda"" zwłaszcza mnie rozbraja :)",0,0,0,1.9K,[],[],[],https://pbs.twimg.com/profile_images/1770049007617728512/7DZYK9SJ_normal.jpg,https://x.com/EmiRosz/status/1788125470598246641,tweet_id:1788125470598246641
witoDon,@Lukasz22343327,2024-05-08T06:42:55.000Z,False,Ja pierdolę co za głupoty. Kim Pan kurwa jest że takie głupoty Pan pisze?,0,0,0,88,[],[],[],https://pbs.twimg.com/profile_images/1085648825425920001/d-xD5iwv_normal.jpg,https://x.com/Lukasz22343327/status/1788097230559162487,tweet_id:1788097230559162487
Wujek,@majkel_jakub,2024-05-08T08:27:49.000Z,False,"Przecież ten twój wpis jest sponsorowany. No chyba, że liczysz na coś od niej ale wtedy to już w ogóle",0,0,0,38,[],[],[],https://pbs.twimg.com/profile_images/1307389822546391041/YiAyS6iy_normal.jpg,https://x.com/majkel_jakub/status/1788123629189792022,tweet_id:1788123629189792022
dr. Krankenstein Kongresmen Futurolog© #TakDlaCPK,@VanFumanchu,2024-05-08T10:41:44.000Z,False,"totalnie nieadekwatne. 
współczuję.",0,0,0,37,[],[],[],https://pbs.twimg.com/profile_images/1773888105168199680/mH2qJv3__normal.jpg,https://x.com/VanFumanchu/status/1788157330028151025,tweet_id:1788157330028151025
Bebzun,@Bebzun_2010,2024-05-08T10:25:40.000Z,False,"Oglądałeś ten sam występ, tego samego wyponawcy/wykonawczyni/wykoniszcza, co wszyscy widzowie?!
Śmiem wątpić i twierdzę, że pomyliłeś festiwale.",0,0,0,26,[],[],[],https://pbs.twimg.com/profile_images/1246738669043691520/4vOHVizR_normal.jpg,https://x.com/Bebzun_2010/status/1788153288824627444,tweet_id:1788153288824627444
superka,@BSuperczyska,2024-05-08T07:12:01.000Z,False,Okropna.,0,0,0,110,[],[],[],https://pbs.twimg.com/profile_images/1228676661702537218/XFtoYEM7_normal.jpg,https://x.com/BSuperczyska/status/1788104552287179259,tweet_id:1788104552287179259
FPL Piotr,@Piotr09037235,2024-05-08T09:25:28.000Z,False,"Człowieku, proszę cię, to jest potwarz dla ludzi utalentowanych którzy w takich miejscach powinni reprezentować nasz kraj.",0,0,0,134,[],[],[],https://pbs.twimg.com/profile_images/1338857583185076225/7NExxaH3_normal.jpg,https://x.com/Piotr09037235/status/1788138135156638072,tweet_id:1788138135156638072
Harry,@Harry58287611,2024-05-08T10:19:51.000Z,False,Ale na pewno umie śpiewać ,0,0,0,16,[],[],['\\U0001f923'],https://pbs.twimg.com/profile_images/1746161323140894720/_uMPyxBC_normal.jpg,https://x.com/Harry58287611/status/1788151824530219036,tweet_id:1788151824530219036
Adam Nowak,@Adaviss_1,2024-05-08T12:03:03.000Z,False,hahahahahahahaha,0,0,0,17,[],[],[],https://pbs.twimg.com/profile_images/1443327100962889729/f9v8coqt_normal.png,https://x.com/Adaviss_1/status/1788177793387233666,tweet_id:1788177793387233666
Menelaos z wyspy Lesbos,@ZLesbos,2024-05-08T12:24:39.000Z,False,Ile keczupu ci tatuś przelał za tą opinię???,0,0,0,14,[],[],[],https://pbs.twimg.com/profile_images/1412689948306776066/oMAzlZ9r_normal.jpg,https://x.com/ZLesbos/status/1788183229742141776,tweet_id:1788183229742141776
wojciech kraczkowski,@wkraczkowski,2024-05-08T06:27:42.000Z,False,Co to kurwa jest?,0,0,0,211,[],[],[],https://pbs.twimg.com/profile_images/1606534779515568128/95up8Ynf_normal.jpg,https://x.com/wkraczkowski/status/1788093402300440763,tweet_id:1788093402300440763
Wan,@Wan74285373,2024-05-08T14:07:00.000Z,False,Tate pani Luny sponsoruje wpisy?,0,0,0,24,[],[],[],https://abs.twimg.com/sticky/default_profile_images/default_profile_normal.png,https://x.com/Wan74285373/status/1788208988716179478,tweet_id:1788208988716179478
Masterix,@MasterixCB,2024-05-08T06:58:30.000Z,False,"Po premię proszę się zgłosić na ulice Bieniewicką 52. Miejscowość Błonie koło Warszawy.

Strażnikowi na bramie niech Pan powie że jest z Twittera. Będzie wiedział o co chodzi.",0,0,0,747,[],[],[],https://pbs.twimg.com/profile_images/1658757124837498881/m2-8-J5w_normal.jpg,https://x.com/MasterixCB/status/1788101150312476868,tweet_id:1788101150312476868
Tomasz Wieczorek,@TomaszW10510220,2024-05-08T05:37:39.000Z,False,,0,0,0,139,[],[],"['\\U0001f602', '\\U0001f646', '\\U0001f926']",https://pbs.twimg.com/profile_images/1761415845870219264/8Hk42s8V_normal.jpg,https://x.com/TomaszW10510220/status/1788080804276339160,tweet_id:1788080804276339160
Stefan Lujarczyk,@lujarczyk,2024-05-08T06:15:13.000Z,False,Muzyczne dno. W pierwszej z brzegu akademii muzycznej na korytarzu jest kilkadziesiąt bardziej utalentowanych wokalistek.,0,0,0,91,[],[],[],https://pbs.twimg.com/profile_images/1761686011724066816/ObS5ij52_normal.jpg,https://x.com/lujarczyk/status/1788090258380238923,tweet_id:1788090258380238923
Ewa Burnett,@PrawyForhend,2024-05-08T06:16:23.000Z,False,oż kurwa,0,0,0,88,[],[],[],https://pbs.twimg.com/profile_images/1787048747748270080/aXfAYQx0_normal.jpg,https://x.com/PrawyForhend/status/1788090552212242588,tweet_id:1788090552212242588
Aneta,@Anetacinka,2024-05-08T09:53:18.000Z,False,"Buhahhaha wiocha aż wali na kilometr wstyd, wstyd i jeszcze raz wstyd!",0,0,0,61,[],[],[],https://pbs.twimg.com/profile_images/1721778858163118080/RjEq2UET_normal.jpg,https://x.com/Anetacinka/status/1788145139707158873,tweet_id:1788145139707158873
Karo,@KAROL2k0,2024-05-07T19:50:25.000Z,False,"Wokalnie dobrze? To weź sobie zestaw ten jej występ z tym, co teraz ten ziomo z Chorwacji zaprezentował. Nie rozśmieszajcie mnie z tym cukierkowaniem. Z takimi piosenkami to można na dożynki w Jeleniej Górze wyjechać, a nie na Eurowizje.",0,0,0,4.6K,[],[],[],https://pbs.twimg.com/profile_images/1772927466681622529/UcY3QShM_normal.jpg,https://x.com/KAROL2k0/status/1787933021586239780,tweet_id:1787933021586239780
Michał,@Micha60095265,2024-05-08T06:46:16.000Z,False,Dostales paletę musztardy za te recenzje?,0,0,0,372,[],[],[],https://pbs.twimg.com/profile_images/1663436699748249600/kdEwrFTe_normal.jpg,https://x.com/Micha60095265/status/1788098073832440310,tweet_id:1788098073832440310
Mm KK,@Znachu_WD,2024-05-08T09:18:07.000Z,False,"Ja pierdole xd ta szmata wyglada jakby ktos jej przypierdolil mlotem w ryj, spiewac nie potrafi, jeb sie cwelu",0,0,0,10,[],[],[],https://pbs.twimg.com/profile_images/1763958108550737921/oZA4o_kO_normal.jpg,https://x.com/Znachu_WD/status/1788136287813124297,tweet_id:1788136287813124297
Mario,@nalezny,2024-05-08T09:20:34.000Z,False,"Eurowizja promuje zgorszenie, brzydotę i  pseudomuzyków. Antychrześcijańska antykultura",0,0,0,64,[],[],[],https://pbs.twimg.com/profile_images/844600960244760577/eEvY-u9l_normal.jpg,https://x.com/nalezny/status/1788136903713145183,tweet_id:1788136903713145183
Technoszczot,@Puszqa,2024-05-08T09:21:20.000Z,False,Ludziska wiedzmaka potrzeba Duśnica podle młyna się zalęgła!,0,0,0,52,[],[],[],https://pbs.twimg.com/profile_images/1737116454275944448/NaJwquYE_normal.jpg,https://x.com/Puszqa/status/1788137096642728014,tweet_id:1788137096642728014
Marcin W,@Marcin__W,2024-05-08T07:40:59.000Z,False,Coo?,0,0,0,147,[],[],"['\\U0001f602', '\\U0001f602', '\\U0001f602']",https://pbs.twimg.com/profile_images/1496461178960326663/nNq2JoVY_normal.jpg,https://x.com/Marcin__W/status/1788111841123541386,tweet_id:1788111841123541386
